X..name,mass,radius,orbital_period,eccentricity,discovered,detection_type,mass_detection_type,radius_detection_type,ra,dec,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,detection,mass_group,radius_group,star_mass_group,star_radius_group,discovery_group,metallicity_group,temperature_group
 OGLE-2016-BLG-1469L b,13.6,NA,NA,NA,2017,Microlensing,Microlensing,,271.945750016,-26.2898888998,4500,NA,0.048,NA,NA,NA,Microlensing,high mass planet,NA,low mass star,NA,After 2013,NA,NA
11 Com b,19.4,NA,326.03,0.231,2008,Radial Velocity,,,185.1791667,17.7927778,110.6,-0.35,2.7,19,NA,4742,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
11 Oph b,21,NA,730000,NA,2007,Imaging,,,245.6041667,-24.0872222,145,NA,0.0162,NA,0.011,2375,Imaging,high mass planet,NA,low mass star,NA,2003-2007,NA,Colder than Sun
11 UMi b,10.5,NA,516.22,0.08,2009,Radial Velocity,,,229.275,71.8238889,119.5,0.04,1.8,24.08,1.56,4340,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Colder than Sun
14 And b,5.33,NA,185.84,0,2008,Radial Velocity,,,352.8208333,39.2361111,76.4,-0.24,2.2,11,NA,4813,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
14 Her b,4.64,NA,1773.4,0.369,2002,Radial Velocity,,,242.5958333,43.8216667,18.1,0.43,0.9,0.708,5.1,5311,Radial Velocity,high mass planet,NA,low mass star,small star,1998-2002,Metal Rich Star,Colder than Sun
16 Cyg B b,1.68,NA,799.5,0.689,1996,Radial Velocity,,,295.4625,50.5175,21.41,0.08,1.01,0.98,8,5766,Radial Velocity,high mass planet,NA,high mass star,small star,1993-1997,Metal Rich Star,Colder than Sun
18 Del b,10.3,NA,993.3,0.08,2008,Radial Velocity,,,314.6083333,10.8391667,73.1,-0.052,2.3,8.5,NA,4979,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
1I/2017 U1,NA,2e-6,NA,1.196,2017,Imaging,,Theoretical,0,0,NA,NA,1,1,NA,NA,Imaging,NA,small planet,low mass star,small star,After 2013,NA,NA
1RXS 1609 b,14,1.7,NA,NA,2008,Imaging,,,242.375,-21.0827778,145,NA,0.73,1.35,0.011,4060,Imaging,high mass planet,large planet,low mass star,large star,2008-2012,NA,Colder than Sun
1SWASP J1407 b,20,NA,3725,NA,2012,Primary Transit,Radial Velocity,,211.950000016,-39.761944469,133,NA,0.9,0.99,0.016,4400,Primary Transit,high mass planet,NA,low mass star,small star,2008-2012,NA,Colder than Sun
24 Sex b,1.99,NA,452.8,0.09,2010,Radial Velocity,,,155.8666667,0.9022222,74.8,-0.03,1.54,4.9,2.7,5098,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
24 Sex c,0.86,NA,883,0.29,2010,Radial Velocity,,,155.8666667,0.9022222,74.8,-0.03,1.54,4.9,2.7,5098,Radial Velocity,low mass planet,large planet,high mass star,large star,2008-2012,Metal Poor Star,Colder than Sun
2M 0103-55 (AB) b,13,NA,NA,NA,2013,Imaging,,,15.9,-55.2656,47.2,NA,0.4,NA,0.03,NA,Imaging,high mass planet,NA,low mass star,NA,After 2013,NA,NA
2M 0122-24 b,20,1,NA,NA,2013,Imaging,,,20.7125,-24.6142,36,NA,0.4,NA,0.12,NA,Imaging,high mass planet,small planet,low mass star,NA,After 2013,NA,NA
2M 0219-39 b,13.9,1.44,NA,NA,2015,Imaging,Spectrum,Theoretical,34.841666674,-39.423055569,39.4,NA,0.11,0.27,NA,3064,Imaging,high mass planet,NA,low mass star,small star,After 2013,NA,Colder than Sun
2M 0441+23 b,7.5,NA,NA,NA,2010,Imaging,,,70.4375,23.0308333,140,NA,0.02,NA,0.001,NA,Imaging,high mass planet,NA,low mass star,NA,2008-2012,NA,NA
2M 0746+20 b,30,0.97,4640,0.487,2010,Imaging,,,116.6791667,20.0088889,12.21,NA,0.12,0.089,NA,2205,Imaging,high mass planet,small planet,low mass star,small star,2008-2012,NA,Colder than Sun
2M 1207-39,24,NA,NA,NA,2001,Imaging,Spectrum,,181.8875,-39.5483333,52.4,NA,0.025,NA,0.008,NA,Imaging,high mass planet,NA,low mass star,NA,1998-2002,NA,NA
2M 1207-39 b,4,NA,NA,NA,2004,Imaging,,,181.8875,-39.5483333,52.4,NA,0.025,NA,0.008,NA,Imaging,high mass planet,NA,low mass star,NA,2003-2007,NA,NA
2M 1938+46 b,1.9,NA,416,NA,2015,Pulsar,TTV,,294.637500011,46.066388903000004,NA,NA,0.6,NA,NA,NA,Pulsar,high mass planet,NA,low mass star,NA,After 2013,NA,NA
2M 2140+16 b,20,0.92,7340,0.26,2010,Imaging,,,325.1208333,16.4216667,25,NA,0.08,0.1,NA,2300,Imaging,high mass planet,small planet,low mass star,small star,2008-2012,NA,Colder than Sun
2M 2206-20 b,30,1.3,8686,0,2010,Imaging,,,331.5958333,-20.785,26.67,NA,0.13,0.11,NA,2350,Imaging,high mass planet,NA,low mass star,small star,2008-2012,NA,Colder than Sun
2M 2236+4751 b,12.5,NA,NA,NA,2016,Imaging,Spectrum,,339.104166675,47.861944471,63,NA,0.6,NA,0.12,NA,Imaging,high mass planet,NA,low mass star,NA,After 2013,NA,NA
2M J2126-81 b,13.3,NA,NA,NA,2016,Imaging,Spectrum,,321.366666676,-81.64111113,24.75,NA,0.4,NA,0.027,NA,Imaging,high mass planet,NA,low mass star,NA,After 2013,NA,NA
2M1450-7841 B b,0.04,NA,NA,NA,2017,Imaging,Spectrum,,222.670833347,-78.693888911,75,NA,0.04,NA,0.04,NA,Imaging,low mass planet,NA,low mass star,NA,After 2013,NA,NA
2M1450-7841 b,0.04,NA,NA,NA,2017,Imaging,Spectrum,,222.675000014,-78.694722245,75,NA,40,NA,0.04,NA,Imaging,low mass planet,NA,high mass star,NA,After 2013,NA,NA
2M2250+2325,30,NA,NA,NA,2017,Imaging,Spectrum,,342.562500005,23.426111127,41.5,NA,NA,NA,0.15,NA,Imaging,high mass planet,NA,NA,NA,After 2013,NA,NA
2MASS J11193254 AB,3.7,NA,32850,NA,2017,Imaging,,,169.885595844,-11.6296389116,NA,NA,NA,NA,0.01,NA,Imaging,high mass planet,NA,NA,NA,After 2013,NA,NA
30 Ari B b,9.88,NA,335.1,0.289,2009,Radial Velocity,,,39.2416667,24.6480556,39.4,0.12,1.22,1.23,0.91,6484,Radial Velocity,high mass planet,large planet,high mass star,large star,2008-2012,Metal Rich Star,Hotter than Sun
38 Vir b,4.51,NA,825.9,0.03,2016,Primary Transit,Radial Velocity,,193.296489462,-3.55309929126,NA,0.07,1.18,1.45,1.9,6557,Primary Transit,high mass planet,large planet,high mass star,large star,After 2013,Metal Rich Star,Hotter than Sun
4 Uma b,7.1,NA,269.3,0.432,2007,Radial Velocity,,,130.0541667,64.3280556,78.5,-0.25,1.234,NA,4.604,4415,Radial Velocity,high mass planet,NA,high mass star,NA,2003-2007,Metal Poor Star,Colder than Sun
